file,apartment,combination,ratio,rooms_number,hull_area,total_area
21004.json,Apartment 1,bathroom,0.2838320363798176,13,50.67645000000001,14.383600000000008
21004.json,Apartment 2,bathroom,1.0,13,7.942199999999996,7.942199999999996
12009.json,Apartment 1,bathroom,0.7119190059825123,7,30.20470000000001,21.503299999999996
12009.json,Apartment 1,corridor,1.0,7,54.385149999999996,54.385149999999996
12009.json,Apartment 1,"bathroom,corridor",0.9936249064652402,7,76.37535000000001,75.88844999999999
12001.json,Apartment 1,bathroom,0.620545241571862,10,9.348149999999999,5.80095
12001.json,Apartment 1,corridor,1.0,10,14.173750000000009,14.173750000000009
12001.json,Apartment 1,"bathroom,corridor",0.6488610247123124,10,30.784250000000007,19.97470000000001
Reference02.json,Apartment 1,bathroom,0.9912425924982592,13,11.778600000000006,11.675450000000001
Reference02.json,Apartment 1,corridor,0.4030732359909412,13,20.070050000000002,8.08969999999999
Reference02.json,Apartment 1,"bathroom,corridor",0.9834337574198556,13,20.09809999999999,19.76514999999999
Reference02.json,Apartment 2,bathroom,1.0,13,8.499150000000006,8.499150000000006
Reference02.json,Apartment 2,corridor,1.0,13,4.468050000000003,4.468050000000003
Reference02.json,Apartment 2,kitchen,1.0,13,6.983299999999998,6.983299999999998
Reference02.json,Apartment 2,"bathroom,corridor",0.9931300691588365,13,13.056899999999997,12.967200000000009
Reference02.json,Apartment 2,"bathroom,kitchen",0.9891738383199479,13,15.651900000000012,15.482450000000004
Reference02.json,Apartment 2,"corridor,kitchen",0.5621605036757037,13,20.37025,11.451350000000001
Reference02.json,Apartment 2,"bathroom,corridor,kitchen",0.9793939691461816,13,20.37025,19.950500000000005
18003.json,Apartment 1,bathroom,0.9949061457351704,9,9.815749999999994,9.765749999999993
18003.json,Apartment 1,corridor,1.0,9,18.420949999999998,18.420949999999998
18003.json,Apartment 1,"bathroom,corridor",0.8099009701847416,9,34.80264999999999,28.18669999999999
14007.json,Apartment 1,bathroom,0.6293185561486712,7,30.235799999999976,19.027949999999976
11001.json,Apartment 1,bathroom,0.37986400472456444,8,24.3832,9.2623
11001.json,Apartment 1,corridor,1.0,8,11.287999999999995,11.287999999999995
11001.json,Apartment 1,"bathroom,corridor",0.6809515288878283,8,30.1788,20.550299999999993
12005.json,Apartment 1,bathroom,1.0,7,16.107,16.107
14012.json,Apartment 1,bathroom,0.6647735770500953,9,12.369549999999995,8.222950000000003
14012.json,Apartment 1,corridor,1.0,9,5.569200000000001,5.569200000000001
14012.json,Apartment 1,"bathroom,corridor",0.5857745650378106,9,23.545149999999996,13.792150000000003
Reference01.json,Apartment 1,bathroom,0.8008415147265078,12,19.322300000000002,15.474100000000004
Reference01.json,Apartment 1,corridor,1.0,12,3.848200000000001,3.848200000000001
Reference01.json,Apartment 1,"bathroom,corridor",1.0000000000000002,12,19.322300000000002,19.322300000000006
Reference01.json,Apartment 2,bathroom,0.664580924917595,12,23.269100000000016,15.46420000000002
Reference01.json,Apartment 2,corridor,1.0,12,7.7425000000000095,7.7425000000000095
Reference01.json,Apartment 2,"bathroom,corridor",0.9973183320369079,12,23.269100000000016,23.20670000000003
